#use gameland;
#﻿INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("#killallzombies", 36.56, 42, "Shooter", "Nov 12, 2014");
#INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("10 Second Ninja X", 209.38, 11, "Platform", "Jul 19, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("100ft Robot Golf", 197.27, 29, "Sport", "Oct 10, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("101 Ways to Die", 162.26, 27, "Platform, puzzle", "Mar 22, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("140", 60.12, 27, "Platform", "Sep 1, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("1001 Spikes", 22.21, 56, "Platform", "Nov 27, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("13 Sentinels: Aegis Rim", 52.81, 40, "Mecha", "2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("2064: Read Only Memories", 239.25, 28, "Adventure", "Jan 17, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("20XX", 46.50, 46, "Action, platform", "Jul 10, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("The 25th Ward: The Silver Case", 94.04, 21, "Visual novel", "Mar 15, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("2Dark", 209.45, 14, "Horror, stealth", "Jun 29, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("428: Shibuya Scramble", 63.46, 13, "Visual novel", "Q2 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("7 Days to Die", 107.19, 10, "Survival", "Jun 28, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("8-bit Adventure Anthology: Volume I", 67.90, 45, "Point-and-click adventure", "Oct 31, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("8-Bit Armies", 123.41, 44, "Real-time strategy", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("8-Bit Hordes", 150.06, 20, "Real-time strategy", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("88 Heroes", 199.22, 14, "Platform", "Mar 24, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("911 Operator", 47.81, 12, "Platform", "Nov 8, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("99Vidas", 95.01, 9, "Beat 'em up", "Dec 8, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("A-Train Express", 240.05, 6, "Simulation", "Dec 21, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Aaero", 215.17, 1, "Shooter", "Apr 11, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Aaru's Awakening", 99.32, 40, "Platform", "Aug 5, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("A Boy and His Blob", 21.00, 35, "Platform, puzzle", "Jan 19, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Absolute Drift: Zen Edition", 121.39, 20, "Racing", "Aug 16, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Absolver", 214.95, 48, "Action RPG", "Aug 29, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Abzû", 121.71, 15, "Adventure, art", "Aug 2, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Accel World VS Sword Art Online", 81.22, 28, "Action RPG", "Mar 16, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Ace Combat 7: Skies Unknown", 68.59, 37, "Flight simulator", "Jan 18, 2019");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("A Certain Magical Virtual-On", 179.69, 19, "Action", "Feb 15, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Act It Out! A Game of Charades", 242.34, 42, "Party", "Jan 12, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Action Henk", 169.83, 34, "Platform", "Mar 8, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Adrift", 56.36, 25, "First-person", "Jul 15, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("The Adventure Pals", 106.89, 29, "Adventure, RPG", "Apr 3, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Adventures of Pip", 55.55, 10, "Platform", "Feb 9, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Adventures of Scarlet Curiosity", 203.44, 38, "Action RPG", "Sep 27, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Adventure Time: Finn & Jake Investigations", 189.38, 19, "Action-adventure", "Nov 6, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Aegis Defenders", 123.72, 59, "Action, strategy", "Feb 8, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Aegis of Earth: Protonovus Assault", 107.84, 26, "Tower defense", "Apr 22, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("AER: Memories of Old", 207.03, 4, "Adventure", "Oct 25, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("AeternoBlade", 36.96, 40, "Action", "Apr 26, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Agatha Christie: The ABC Murders", 37.10, 33, "Point-and-click adventure", "Apr 28, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Agents of Mayhem", 186.12, 47, "Action, third-person", "Dec 7, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Agony", 160.22, 3, "Survival Horror", "May 29, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("A Hat in Time", 171.83, 8, "Platform", "Dec 6, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("A Healer Only Lives Twice", 101.05, 40, "Dungeon crawl", "Jul 25, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("AIPD", 72.96, 11, "Shoot 'em up", "Jan 29, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Air Conflicts: Pacific Carriers", 104.54, 18, "Flight simulator", "Nov 6, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Air Conflicts: Vietnam", 203.99, 2, "Flight simulator", "Nov 26, 2013");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Airport Architect", 70.65, 39, "Simulation", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Airship Q", 114.19, 6, "Action RPG", "Nov 19, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("AI: The Somnium Files", 156.67, 5, "Adventure", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Akiba's Beat", 46.52, 21, "Action RPG", "Dec 15, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Akiba's Trip: Undead & Undressed", 155.63, 33, "Action RPG", "Jul 3, 2014");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Alaloth: Champions of The Four Kingdoms", 229.82, 50, "Action RPG", "2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Alekhine's Gun", 5.80, 10, "Action, stealth", "Nov 10, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Alienation", 204.14, 31, "Shoot 'em up", "Jun 2, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Alien: Isolation", 198.19, 12, "Survival horror", "Jun 11, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Alone with You", 110.75, 2, "Adventure", "Aug 23, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Always Sometimes Monsters", 151.90, 50, "RPG", "Oct 10, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Amazing Discoveries in Outer Space", 123.70, 33, "Platform", "Feb 3, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("The Amazing Spider-Man 2", 198.97, 50, "Action-adventure", "Sep 4, 2014");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Amnesia Collection", 6.20, 50, "Survival horror", "Nov 22, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Among the Sleep", 182.25, 2, "Survival horror", "Dec 10, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Amplitude", 155.75, 39, "Music, rhythm", "Jan 5, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Anamorphine", 165.35, 45, "Adventure", "2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Anarcute", 114.35, 7, "Action", "Feb 20, 2018");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Anew: The Distant Light", 121.95, 40, "Action, puzzle", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Angry Birds Star Wars", 92.24, 21, "Puzzle", "Nov 29, 2013");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Anima: Gate of Memories", 219.80, 38, "Action RPG", "Jan 1, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Anodyne", 118.41, 47, "RPG", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Anoko wa Ore kara Hanarenai[ja]", 84.87, 52, "Visual novel", "Dec 18, 2014");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Anomaly 2", 86.80, 25, "Real-time strategy", "Sep 17, 2014");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Anonymous;Code", 96.24, 28, "Visual novel", "TBA");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Another World: 20th Anniversary Edition", 149.26, 57, "Cinematic platformer", "Jun 25, 2014");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Anthem", 28.13, 44, "Action RPG", "Feb 22, 2019");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Antiquia Lost", 74.36, 12, "RPG", "Aug 16, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("A Pixel Story", 155.04, 28, "Platform, puzzle", "Feb 24, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("A Plague Tale: Innocence", 78.85, 16, "Action-adventure", "2019");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Apotheon", 200.72, 32, "Action RPG, platform", "Feb 3, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Aqua Moto Racing Utopia", 165.32, 48, "Racing", "Nov 30, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Aragami", 61.07, 4, "Action, stealth", "Oct 4, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Arcade Archives: A-Z", 37.14, 56, "Assorted", "Assorted");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Arcade Game Series: A-Z", 113.66, 7, "Assorted", "Assorted");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Arcania: The Complete Tale", 36.87, 31, "Action RPG", "May 8, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Ark: Survival Evolved", 73.63, 54, "Action, survival", "Aug 29, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Armello", 205.40, 47, "Board game, RPG", "Sep 2, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Arslan: The Warriors of Legend", 110.76, 45, "Action", "Oct 1, 2015");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Art of Balance", 36.99, 5, "Puzzle", "Jun 3, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Asdivine Hearts", 137.97, 7, "RPG", "Jan 10, 2017");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Asemblance", 209.60, 8, "Adventure", "Jul 26, 2016");
INSERT INTO games (game_name, game_price, game_amount, game_genre, game_release) VALUES ("Ashen Rift", 113.89, 0, "Survival horror", "TBA");
